UH#,GLOSS#,Version,Location,Country,Latitude,Longitude,Start,End,Data,CSV,NetCDF
101,8,a,Mombasa,Kenya,-4.07,39.657,6/17/1986,2/4/2015,0,0,1
102,,a,Dar es Salaam,"Tanzania, United Republic of",-6.817,39.283,7/6/1986,9/30/1990,0,0,1
103,18,c,Port Louis,Mauritius,-20.155,57.495,8/1/1986,2/4/2015,0,0,1
104,26,d,Diego Garcia,United Kingdom,-7.233,72.433,8/26/2003,2/4/2015,0,0,1
105,19,a,Rodrigues MU (Port Mathurin),Mauritius,-19.668,63.418,11/8/1986,2/4/2015,0,0,1
106,,a,Praslin,Seychelles,-4.35,55.767,11/5/1987,6/27/1989,0,0,1
107,45,b,Padang (Telu Bayuk),Indonesia,-0.95,100.367,12/7/2005,2/4/2015,0,0,1
108,28,b,Male (Hulhule),Maldives,4.2,73.527,8/26/1989,2/4/2015,0,0,1
109,27,a,Gan,Maldives,-0.687,73.152,3/4/1987,2/4/2015,0,0,1
110,,b,Muscat,Oman,23.633,58.567,12/10/2009,2/4/2015,0,0,1
113,,a,Masirah,Oman,20.683,58.867,12/7/1996,12/31/2014,0,0,1
114,4,a,Salalah,Oman,16.935,54.007,10/1/1989,2/4/2015,0,0,1
115,33,c,Colombo,Sri Lanka,6.95,79.85,5/9/2006,2/4/2015,0,0,1
117,,b,Hanimaadhoo,Maldives,6.767,73.167,9/18/2002,2/4/2015,0,0,1
119,2,a,Djibouti,Djibouti,11.6,43.15,2/20/2007,8/31/2015,0,0,1
121,339,a,Pointe La Rue Mahe Is. (Port Victoria),Seychelles,-4.672,55.528,1/11/1993,2/4/2015,0,0,1
122,,b,Sibolga,Indonesia,1.733,98.767,4/25/2005,2/4/2015,0,0,1
123,347,a,Sabang,Indonesia,5.833,95.333,12/18/2005,2/4/2015,0,0,1
124,36,a,Chittagong,Bangladesh,22.33,91.63,7/1/2007,10/5/2014,0,0,1
125,,a,Prigi,Indonesia,-8.28,111.73,2/25/2007,7/12/2015,0,0,1
127,95,a,Syowa,Japan,-69.01,39.58,1/31/1987,12/31/2013,0,0,1
130,278,a,Casey,Australia,-66.283,110.533,1/8/1996,11/16/2008,0,0,1
134,,a,Hiron Point,Bangladesh,21.783,89.467,1/16/1977,12/31/2003,0,0,1
135,,a,Khal,Bangladesh,22.267,91.817,1/1/1983,12/31/1992,0,0,1
136,,a,Cox's Bazaar,Bangladesh,21.45,91.833,1/1/1983,12/31/2006,0,0,1
137,,a,Teknaf,Bangladesh,20.883,92.3,6/19/1983,11/24/1988,0,0,1
138,36,a,Charchanga,Bangladesh,22.22,91.05,1/1/1980,12/31/2000,1,0,0
139,,a,Khepupara,Bangladesh,21.833,89.833,1/1/1987,12/31/2000,0,0,1
147,30,b,Karachi,Pakistan,24.85,67.067,1/31/2007,8/31/2015,0,0,1
